27473;# doc = ras_serb.2.txt;;;;;;;;;;;;;;;;
27474;# speaker = Суф;;;;;;;;;;;;;;;;
27475;# sent = 2007;;;;;;;;;;;;;;;;
28473;;пораздавали;ПОРАЗДАВАТЬ;V ipf praet pl indic - -;;;ещё козинаки вкусные _пораздавали_ , вот …;и;л;а;в;а;д;V;ПОРАЗДАВАТЬ;V ipf praet pl indic - -;Ь
28474;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28475;;вот;ВОТ;PART;;;вкусные пораздавали , _вот_ …  ;т;о;в;;;;PART;ВОТ;PART;Т
28476;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
28477;;;;;;;;;;;;;;;;;
28478;# sent = 2085;;;;;;;;;;;;;;;;
28479;;Потом;ПОТОМ;ADV -;;;…   _Потом_ выяснилось , что;м;о;т;о;п;;ADV;ПОТОМ;ADV -;М
28480;;выяснилось;ВЫЯСНИТЬСЯ;PRAEDIC;;;  Потом _выяснилось_ , что это;ь;с;о;л;и;н;V;ВЫЯСНИТЬСЯ;V pf praet sg indic n -;Я
28481;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28482;;что;ЧТО;CONJ;;;Потом выяснилось , _что_ это просто цепочка;о;т;ч;;;;CONJ;ЧТО;CONJ;О
28483;;это;ЭТО;SPRO n - nom sg;;;выяснилось , что _это_ просто цепочка из;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
28484;;просто;ПРОСТО;PART;;;, что это _просто_ цепочка из всех;о;т;с;о;р;п;PART;ПРОСТО;PART;О
28485;;цепочка;ЦЕПОЧКА;S f inan nom sg;;;что это просто _цепочка_ из всех стран;а;к;ч;о;п;е;S;ЦЕПОЧКА;S f inan nom sg;А
28486;;из;ИЗ;PR;;;это просто цепочка _из_ всех стран ,;з;и;;;;;PR;ИЗ;PR;З
28487;;всех;ВЕСЬ;APRO - gen pl plen - -;;;просто цепочка из _всех_ стран , они;х;е;с;в;;;APRO;ВЕСЬ;A - gen pl plen - -;Ь
28488;;стран;СТРАНА;S f inan gen pl;;;цепочка из всех _стран_ , они в;н;а;р;т;с;;S;СТРАНА;S f inan gen pl;А
28489;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28490;;они;ОНИ;SPRO pl - - nom;;;всех стран , _они_ в Белграде нашли;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
28491;;в;В;PR;;;стран , они _в_ Белграде нашли себе;в;;;;;;PR;В;PR;В
28492;;Белграде;БЕЛГРАД;S m inan loc sg;;;, они в _Белграде_ нашли себе уголки;е;д;а;р;г;л;S;БЕЛГРАД;S m inan loc sg;Д
28493;;нашли;НАСЛАТЬ;V pf - sg imper - 2p;;;они в Белграде _нашли_ себе уголки ,;и;л;ш;а;н;;V;НАСЛАТЬ;V pf - sg imper - 2p;Ь
28494;;себе;СЕБЯ;SPRO - - - dat;;;в Белграде нашли _себе_ уголки , типа;е;б;е;с;;;SPRO;СЕБЯ;SPRO - - - dat;Я
28495;;уголки;УГОЛОК;S m inan acc pl;;;Белграде нашли себе _уголки_ , типа точку;и;к;л;о;г;у;S;УГОЛОК;S m inan acc pl;К
28496;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28497;;типа;ТИПА;PART;;;себе уголки , _типа_ точку застолбили ,;а;п;и;т;;;PART;ТИПА;PART;А
28498;;точку;ТОЧКА;S f inan acc sg;;;уголки , типа _точку_ застолбили , вот;у;к;ч;о;т;;S;ТОЧКА;S f inan acc sg;А
28499;;застолбили;ЗАСТОЛБИТЬ;V pf praet pl indic - -;;;, типа точку _застолбили_ , вот .;и;л;и;б;л;о;V;ЗАСТОЛБИТЬ;V pf praet pl indic - -;Ь
28500;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28501;;вот;ВОТ;PART;;;точку застолбили , _вот_ .  ;т;о;в;;;;PART;ВОТ;PART;Т
28502;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28503;;;;;;;;;;;;;;;;;
28504;# sent = 2086;;;;;;;;;;;;;;;;
28505;;Держат;ДЕРЖАТЬ;V ipf praes pl indic - 3p;;;.   _Держат_ район , так;т;а;ж;р;е;д;V;ДЕРЖАТЬ;V ipf praes pl indic - 3p;Ь
28506;;район;РАЙОН;S m inan nom sg;;;  Держат _район_ , так сказать;н;о;й;а;р;;S;РАЙОН;S m inan nom sg;Н
28507;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28508;;так;ТАК;ADV -;;;Держат район , _так_ сказать . ;к;а;т;;;;ADV;ТАК;ADV -;К
28509;;сказать;СКАЗАТЬ;V pf - - inf - -;;;район , так _сказать_ .  ;ь;т;а;з;а;к;V;СКАЗАТЬ;V pf - - inf - -;Ь
28510;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28511;;;;;;;;;;;;;;;;;
28512;# sent = 2087;;;;;;;;;;;;;;;;
28513;;В;В;PR;;;.   _В_ общем , там;в;;;;;;PR;В;PR;В
28514;;общем;ОБЩИЙ;A - loc sg plen m -;;;  В _общем_ , там танцуют;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -;Й
28515;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28516;;там;ТАМ;ADVPRO;;;В общем , _там_ танцуют , все;м;а;т;;;;ADV;ТАМ;ADV -;М
28517;;танцуют;ТАНЦЕВАТЬ;V ipf praes pl indic - 3p;;;общем , там _танцуют_ , все дела;т;ю;у;ц;н;а;V;ТАНЦЕВАТЬ;V ipf praes pl indic - 3p;Ь
28518;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28519;;все;ВЕСЬ;APRO - nom pl plen - -;;;там танцуют , _все_ дела . ;е;с;в;;;;APRO;ВЕСЬ;A - nom pl plen - -;Ь
28520;;дела;ДЕЛО;S n inan nom pl;;;танцуют , все _дела_ .  ;а;л;е;д;;;S;ДЕЛО;S n inan nom pl;О
28521;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28522;;;;;;;;;;;;;;;;;
28523;# sent = 2088;;;;;;;;;;;;;;;;
28524;;Ааах;АААХ;INTJ;;;.   _Ааах_ .  ;х;а;а;а;;;INTJ;АААХ;S m anim nom sg;Х
28525;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28526;;;;;;;;;;;;;;;;;
28527;# sent = 2089;;;;;;;;;;;;;;;;
28528;#  #;;;;;;;;;;;;;;;;
28528;#  #;;;;;;;;;;;;;;;;
28528;#  #;;;;;;;;;;;;;;;;
28528;#  #;;;;;;;;;;;;;;;;
28528;#  #;;;;;;;;;;;;;;;;
28528;#  #;;;;;;;;;;;;;;;;
28528;#  #;;;;;;;;;;;;;;;;
28528;#  #;;;;;;;;;;;;;;;;
